Time Force Active_Force Passive_Force  Lambda Derivative Mode Calcium Troponin CrossBridges Q1 Q2 Force
280 1.52717 2.002 -0.474826 0.886272 7.44596e-07 3 0.238484 0.0668252 0.0202493 -0.00361726 0.0141874 2.00178 
281 1.6799 2.14883 -0.468935 0.894272 7.44596e-07 3 0.237233 0.0662564 0.0197912 -0.0328311 0.109352 2.14874 
282 1.74445 2.20612 -0.461667 0.902272 7.44596e-07 3 0.235988 0.0658042 0.0193495 -0.0579753 0.167064 2.20609 
283 1.76743 2.22013 -0.452698 0.910272 7.44596e-07 3 0.234749 0.0654589 0.0189289 -0.079617 0.202065 2.22013 
284 1.77107 2.2127 -0.441631 0.918272 7.44596e-07 3 0.233515 0.0652115 0.0185329 -0.0982439 0.223291 2.21272 
285 1.76735 2.19532 -0.427974 0.926272 7.44596e-07 3 0.232287 0.0650541 0.0181644 -0.114276 0.236163 2.19534 
286 1.76327 2.17439 -0.411122 0.934272 7.44596e-07 3 0.231065 0.0649798 0.0178254 -0.128075 0.24397 2.17441 
287 1.76329 2.15362 -0.390326 0.942272 7.44596e-07 3 0.229848 0.0649822 0.0175172 -0.139952 0.248704 2.15364 
288 1.77047 2.13513 -0.364666 0.950272 7.44596e-07 3 0.228637 0.0650558 0.0172408 -0.150174 0.251575 2.13515 
289 1.78719 2.12019 -0.333001 0.958272 7.44596e-07 3 0.227432 0.0651958 0.0169969 -0.158972 0.253317 2.1202 
290 1.81555 2.10948 -0.293927 0.966272 7.44596e-07 3 0.226232 0.0653978 0.0167857 -0.166545 0.254373 2.10949 
291 1.85768 2.10339 -0.245712 0.974272 7.44596e-07 3 0.225038 0.065658 0.0166074 -0.173062 0.255013 2.10339 
292 1.9159 2.10212 -0.186215 0.982272 7.44596e-07 3 0.223849 0.0659732 0.016462 -0.178672 0.255402 2.10212 
293 1.99296 2.10576 -0.112797 0.990272 7.44596e-07 3 0.222666 0.0663404 0.0163494 -0.183501 0.255637 2.10575 
