Time D1Force D1M1Lambda D2M2Lambda D1Lambda Mode1 D2Force D2M1Lambda D2M2Lambda D2Lambda Mode2
230.001 25.2525 0.933653 0.849448 0.891551 2 0.92824 0.973044 0.91233 0.942687 3
231.001 25.0754 0.934666 0.848435 0.891551 2 0.904113 0.973312 0.913663 0.943487 3
232.001 24.8947 0.935695 0.847406 0.891551 2 0.880806 0.973615 0.91496 0.944287 3
233.001 24.7107 0.936741 0.84636 0.891551 2 0.85829 0.973953 0.916221 0.945087 3
234.001 24.5231 0.937804 0.845297 0.891551 2 0.836537 0.974326 0.917449 0.945887 3
235.001 24.3321 0.938885 0.844216 0.891551 2 0.81552 0.974731 0.918644 0.946687 3
236.001 24.1376 0.939986 0.843116 0.891551 2 0.795212 0.975165 0.919809 0.947487 3
237.001 23.9395 0.941105 0.841996 0.891551 2 0.775584 0.975627 0.920948 0.948287 3
238.001 23.7379 0.942245 0.840856 0.891551 2 0.756609 0.976111 0.922063 0.949087 3
239.001 23.5327 0.943406 0.839695 0.891551 2 0.73826 0.976616 0.923159 0.949887 3
240.001 23.3239 0.944588 0.838513 0.891551 2 0.72051 0.977136 0.924239 0.950687 3
241.001 23.1115 0.945793 0.837308 0.891551 2 0.703331 0.977668 0.925307 0.951487 3
242.001 22.8955 0.947021 0.83608 0.891551 2 0.686698 0.978208 0.926367 0.952287 3
243.001 22.6758 0.948274 0.834827 0.891551 2 0.670586 0.978752 0.927423 0.953087 3
244.001 22.4525 0.949552 0.833549 0.891551 2 0.654969 0.979298 0.928477 0.953887 3
245.001 22.2254 0.950856 0.832245 0.891551 2 0.639826 0.979841 0.929534 0.954687 3
246.001 21.9946 0.952187 0.830914 0.891551 2 0.625135 0.98038 0.930595 0.955487 3
247.001 21.76 0.953546 0.829555 0.891551 2 0.610876 0.980912 0.931663 0.956287 3
248.001 21.5216 0.954934 0.828167 0.891551 2 0.59703 0.981435 0.93274 0.957087 3
249.001 21.2795 0.956353 0.826748 0.891551 2 0.583583 0.981947 0.933828 0.957887 3
250.001 21.0334 0.957803 0.825298 0.891551 2 0.570519 0.982449 0.934926 0.958687 3
251.001 20.7835 0.959286 0.823815 0.891551 2 0.557826 0.982939 0.936036 0.959487 3
252.001 20.5297 0.960803 0.822298 0.891551 2 0.545493 0.983417 0.937158 0.960287 3
253.001 20.2719 0.962356 0.820745 0.891551 2 0.533514 0.983884 0.938291 0.961087 3
254.001 20.0102 0.963945 0.819156 0.891551 2 0.521879 0.984339 0.939436 0.961887 3
255.001 19.7445 0.965572 0.817529 0.891551 2 0.510584 0.984784 0.94059 0.962687 3
256.001 19.4747 0.967239 0.815862 0.891551 2 0.499625 0.98522 0.941755 0.963487 3
